run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
201,500000,9.875,1.05,0.2,0.73,0.73
202,500000,9.875,1.10,0.2,0.73,0.73
203,500000,9.875,1.15,0.2,0.73,0.73

204,500000,9.90,1.05,0.2,0.73,0.73
205,500000,9.90,1.10,0.2,0.73,0.73
206,500000,9.90,1.15,0.2,0.73,0.73

207,500000,9.925,1.05,0.2,0.73,0.73
208,500000,9.925,1.10,0.2,0.73,0.73
209,500000,9.925,1.15,0.2,0.73,0.73

210,500000,9.95,1.05,0.2,0.73,0.73
211,500000,9.95,1.10,0.2,0.73,0.73
212,500000,9.95,1.15,0.2,0.73,0.73
