701,300000,9.90,0.70,0.2,0.73,0.73
702,300000,9.90,0.80,0.2,0.73,0.73
703,300000,9.90,0.90,0.2,0.73,0.73
704,300000,9.90,1.00,0.2,0.73,0.73

705,300000,9.85,0.70,0.2,0.73,0.73
706,300000,9.85,0.80,0.2,0.73,0.73
707,300000,9.85,0.90,0.2,0.73,0.73
708,300000,9.85,1.00,0.2,0.73,0.73

709,300000,9.80,0.70,0.2,0.73,0.73
710,300000,9.80,0.80,0.2,0.73,0.73
711,300000,9.80,0.90,0.2,0.73,0.73
712,300000,9.80,1.00,0.2,0.73,0.73

713,300000,9.75,0.70,0.2,0.73,0.73
714,300000,9.75,0.80,0.2,0.73,0.73
715,300000,9.75,0.90,0.2,0.73,0.73
716,300000,9.75,1.00,0.2,0.73,0.73

717,300000,9.70,0.70,0.2,0.73,0.73
718,300000,9.70,0.80,0.2,0.73,0.73
719,300000,9.70,0.90,0.2,0.73,0.73
720,300000,9.70,1.00,0.2,0.73,0.73

721,300000,9.65,0.70,0.2,0.73,0.73
722,300000,9.65,0.80,0.2,0.73,0.73
723,300000,9.65,0.90,0.2,0.73,0.73
724,300000,9.65,1.00,0.2,0.73,0.73

725,300000,9.85,0.80,0.0,0.73,0.73
726,300000,9.85,0.80,0.1,0.73,0.73
727,300000,9.85,0.80,0.2,0.73,0.73

728,300000,9.80,0.80,0.0,0.73,0.73
729,300000,9.80,0.80,0.1,0.73,0.73
730,300000,9.80,0.80,0.2,0.73,0.73

731,300000,9.80,0.90,0.0,0.73,0.73
732,300000,9.80,0.90,0.1,0.73,0.73
733,300000,9.80,0.90,0.2,0.73,0.73

734,300000,9.75,0.80,0.0,0.73,0.73
735,300000,9.75,0.80,0.1,0.73,0.73
736,300000,9.75,0.80,0.2,0.73,0.73

737,300000,9.775,0.80,0.1,0.73,0.73
738,300000,9.800,0.80,0.1,0.73,0.73
739,300000,9.825,0.80,0.1,0.73,0.73

740,300000,9.725,0.80,0.1,0.73,0.73
741,300000,9.750,0.80,0.1,0.73,0.73
742,300000,9.775,0.80,0.1,0.73,0.73
