run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
#506,10000000,9.700,1.20,0.2,0.73,0.73
#507,10000000,9.700,1.30,0.2,0.73,0.73
#510,10000000,9.625,1.20,0.2,0.73,0.73
#511,10000000,9.625,1.30,0.2,0.73,0.73
#514,10000000,9.550,1.20,0.2,0.73,0.73
#515,10000000,9.550,1.30,0.2,0.73,0.73

#507,30000000,9.700,1.30,0.2,0.73,0.73
#508,40000000,9.700,1.30,0.2,0.73,0.73
#506,20000000,9.700,1.20,0.2,0.73,0.73

#801,10000000,9.675,1.24,0.2,0.73,0.73
#802,10000000,9.675,1.27,0.2,0.73,0.73
#803,10000000,9.675,1.30,0.2,0.73,0.73

#804,10000000,9.700,1.24,0.2,0.73,0.73
#805,10000000,9.700,1.27,0.2,0.73,0.73
#806,10000000,9.700,1.30,0.2,0.73,0.73

#807,10000000,9.725,1.24,0.2,0.73,0.73
#808,10000000,9.725,1.27,0.2,0.73,0.73
#809,10000000,9.725,1.30,0.2,0.73,0.73

#901,20000000,9.550,1.27,0.2,0.73,0.73
#902,20000000,9.550,1.30,0.2,0.73,0.73
#903,20000000,9.550,1.33,0.2,0.73,0.73

#904,20000000,9.575,1.27,0.2,0.73,0.73
#905,20000000,9.575,1.30,0.2,0.73,0.73
#906,20000000,9.575,1.33,0.2,0.73,0.73

#907,20000000,9.600,1.27,0.2,0.73,0.73
#908,20000000,9.600,1.30,0.2,0.73,0.73
#909,20000000,9.600,1.33,0.2,0.73,0.73

#910,20000000,9.625,1.27,0.2,0.73,0.73
#911,20000000,9.625,1.30,0.2,0.73,0.73
#912,20000000,9.625,1.33,0.2,0.73,0.73

#913,20000000,9.650,1.27,0.2,0.73,0.73
#914,20000000,9.650,1.30,0.2,0.73,0.73
#915,20000000,9.650,1.33,0.2,0.73,0.73

#916,20000000,9.675,1.27,0.2,0.73,0.73
#917,20000000,9.675,1.30,0.2,0.73,0.73
#918,20000000,9.675,1.33,0.2,0.73,0.73

#919,20000000,9.700,1.27,0.2,0.73,0.73
#920,20000000,9.700,1.30,0.2,0.73,0.73
#921,20000000,9.700,1.33,0.2,0.73,0.73

#1001,20000000,9.00,1.30,0.2,0.73,0.73
#1002,20000000,9.10,1.30,0.2,0.73,0.73
#1003,20000000,9.20,1.30,0.2,0.73,0.73
#1004,20000000,9.30,1.30,0.2,0.73,0.73
#1005,20000000,9.40,1.30,0.2,0.73,0.73
#1006,20000000,9.50,1.30,0.2,0.73,0.73
#1007,20000000,9.60,1.30,0.2,0.73,0.73
#1008,20000000,9.70,1.30,0.2,0.73,0.73 best 10cm flash/conv9

# --- 9.700 (highest priority) ---
#1301,30000000,9.700,1.24,0.2,0.73,0.73
#1302,30000000,9.700,1.26,0.2,0.73,0.73
#1303,30000000,9.700,1.28,0.2,0.73,0.73
#1304,30000000,9.700,1.30,0.2,0.73,0.73
#1305,30000000,9.700,1.32,0.2,0.73,0.73
#1306,30000000,9.700,1.34,0.2,0.73,0.73

# --- 9.690 ---
#1307,30000000,9.690,1.24,0.2,0.73,0.73
#1308,30000000,9.690,1.26,0.2,0.73,0.73
#1309,30000000,9.690,1.28,0.2,0.73,0.73
#1310,30000000,9.690,1.30,0.2,0.73,0.73
#1311,30000000,9.690,1.32,0.2,0.73,0.73
#1312,30000000,9.690,1.34,0.2,0.73,0.73

# --- 9.680 ---
#1313,30000000,9.680,1.24,0.2,0.73,0.73
#1314,30000000,9.680,1.26,0.2,0.73,0.73
#1315,30000000,9.680,1.28,0.2,0.73,0.73
#1316,30000000,9.680,1.30,0.2,0.73,0.73
#1317,30000000,9.680,1.32,0.2,0.73,0.73
#1318,30000000,9.680,1.34,0.2,0.73,0.73


#8008,50000000,9.70,1.30,0.2,0.73,0.73 best 5cm flash/conv9

#8009,50000000,9.70,1.30,0.2,0.73,0.73 best 2cm flash/conv9

#8010,50000000,9.70,1.30,0.2,0.73,0.73  10cm 










