run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
110,300000,9.80,0.20,0.2,0.73,0.73
111,300000,9.80,0.20,0.4,0.73,0.73
112,300000,9.80,0.20,0.6,0.73,0.73
113,300000,9.80,0.25,0.0,0.73,0.73
114,300000,9.80,0.25,0.2,0.73,0.73
115,300000,9.80,0.25,0.4,0.73,0.73
116,300000,9.80,0.25,0.6,0.73,0.73
117,300000,9.80,0.30,0.0,0.73,0.73
118,300000,9.80,0.30,0.2,0.73,0.73
119,300000,9.80,0.30,0.4,0.73,0.73
120,300000,9.80,0.30,0.6,0.73,0.73
121,300000,9.85,0.10,0.0,0.73,0.73
122,300000,9.85,0.10,0.2,0.73,0.73
123,300000,9.85,0.10,0.4,0.73,0.73
124,300000,9.85,0.10,0.6,0.73,0.73
125,300000,9.85,0.15,0.0,0.73,0.73
126,300000,9.85,0.15,0.2,0.73,0.73
127,300000,9.85,0.15,0.4,0.73,0.73
128,300000,9.85,0.15,0.6,0.73,0.73
129,300000,9.85,0.20,0.0,0.73,0.73
130,300000,9.85,0.20,0.2,0.73,0.73
131,300000,9.85,0.20,0.4,0.73,0.73
132,300000,9.85,0.20,0.6,0.73,0.73
133,300000,9.85,0.25,0.0,0.73,0.73
134,300000,9.85,0.25,0.2,0.73,0.73
135,300000,9.85,0.25,0.4,0.73,0.73
136,300000,9.85,0.25,0.6,0.73,0.73
137,300000,9.85,0.30,0.0,0.73,0.73
138,300000,9.85,0.30,0.2,0.73,0.73
139,300000,9.85,0.30,0.4,0.73,0.73
140,300000,9.85,0.30,0.6,0.73,0.73
141,300000,9.90,0.10,0.0,0.73,0.73
142,300000,9.90,0.10,0.2,0.73,0.73
143,300000,9.90,0.10,0.4,0.73,0.73
144,300000,9.90,0.10,0.6,0.73,0.73
145,300000,9.90,0.15,0.0,0.73,0.73
146,300000,9.90,0.15,0.2,0.73,0.73
147,300000,9.90,0.15,0.4,0.73,0.73
148,300000,9.90,0.15,0.6,0.73,0.73
149,300000,9.90,0.20,0.0,0.73,0.73
150,300000,9.90,0.20,0.2,0.73,0.73
151,300000,9.90,0.20,0.4,0.73,0.73
152,300000,9.90,0.20,0.6,0.73,0.73
153,300000,9.90,0.25,0.0,0.73,0.73
154,300000,9.90,0.25,0.2,0.73,0.73
155,300000,9.90,0.25,0.4,0.73,0.73
156,300000,9.90,0.25,0.6,0.73,0.73
157,300000,9.90,0.30,0.0,0.73,0.73
158,300000,9.90,0.30,0.2,0.73,0.73
159,300000,9.90,0.30,0.4,0.73,0.73
160,300000,9.90,0.30,0.6,0.73,0.73
161,300000,9.95,0.10,0.0,0.73,0.73
162,300000,9.95,0.10,0.2,0.73,0.73
163,300000,9.95,0.10,0.4,0.73,0.73
164,300000,9.95,0.10,0.6,0.73,0.73
165,300000,9.95,0.15,0.0,0.73,0.73
166,300000,9.95,0.15,0.2,0.73,0.73
167,300000,9.95,0.15,0.4,0.73,0.73
168,300000,9.95,0.15,0.6,0.73,0.73
169,300000,9.95,0.20,0.0,0.73,0.73
170,300000,9.95,0.20,0.2,0.73,0.73
171,300000,9.95,0.20,0.4,0.73,0.73
172,300000,9.95,0.20,0.6,0.73,0.73
173,300000,9.95,0.25,0.0,0.73,0.73
174,300000,9.95,0.25,0.2,0.73,0.73
175,300000,9.95,0.25,0.4,0.73,0.73
176,300000,9.95,0.25,0.6,0.73,0.73
177,300000,9.95,0.30,0.0,0.73,0.73
178,300000,9.95,0.30,0.2,0.73,0.73
179,300000,9.95,0.30,0.4,0.73,0.73
180,300000,9.95,0.30,0.6,0.73,0.73
181,300000,10.00,0.10,0.0,0.73,0.73
182,300000,10.00,0.10,0.2,0.73,0.73
183,300000,10.00,0.10,0.4,0.73,0.73
184,300000,10.00,0.10,0.6,0.73,0.73
185,300000,10.00,0.15,0.0,0.73,0.73
186,300000,10.00,0.15,0.2,0.73,0.73
187,300000,10.00,0.15,0.4,0.73,0.73
188,300000,10.00,0.15,0.6,0.73,0.73
189,300000,10.00,0.20,0.0,0.73,0.73
190,300000,10.00,0.20,0.2,0.73,0.73
191,300000,10.00,0.20,0.4,0.73,0.73
192,300000,10.00,0.20,0.6,0.73,0.73
193,300000,10.00,0.25,0.0,0.73,0.73
194,300000,10.00,0.25,0.2,0.73,0.73
195,300000,10.00,0.25,0.4,0.73,0.73
196,300000,10.00,0.25,0.6,0.73,0.73
197,300000,10.00,0.30,0.0,0.73,0.73
198,300000,10.00,0.30,0.2,0.73,0.73
199,300000,10.00,0.30,0.4,0.73,0.73
200,300000,10.00,0.30,0.6,0.73,0.73
