run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
001,300000,9.85,1.00,0.00,0.73,0.73
002,300000,9.85,1.00,0.20,0.73,0.73
003,300000,9.85,1.00,0.40,0.73,0.73

004,300000,9.90,1.00,0.00,0.73,0.73
005,300000,9.90,1.00,0.20,0.73,0.73
006,300000,9.90,1.00,0.40,0.73,0.73

007,300000,9.95,1.00,0.00,0.73,0.73
008,300000,9.95,1.00,0.20,0.73,0.73
009,300000,9.95,1.00,0.40,0.73,0.73

010,300000,9.90,0.80,0.00,0.73,0.73
011,300000,9.90,0.80,0.20,0.73,0.73
012,300000,9.90,0.80,0.40,0.73,0.73

013,300000,9.90,1.20,0.00,0.73,0.73
014,300000,9.90,1.20,0.20,0.73,0.73
015,300000,9.90,1.20,0.40,0.73,0.73


